pref_id,pref_name,city_id,city_name,has_subsidy,subsidy_name,max_amount_raw,max_amount_yen,official_url
hokkaido,北海道,sapporo,札幌市,1,札幌市危険空家等除却補助制度,最大300万円,3000000,https://www.city.sapporo.jp/kensetsu/kenchiku/akiya/hojo.html
tokyo,東京都,chiyoda,千代田区,0,,,,
tokyo,東京都,shinjuku,新宿区,0,,,,
tokyo,東京都,setagaya,世田谷区,1,老朽建築物の除却に伴う費用助成（不燃化特区制度）,"延床面積1㎡あたり27,000円を限度",,https://www.city.setagaya.lg.jp/02067/3921.html
tokyo,東京都,meguro,目黒区,1,老朽建築物除却助成（不燃化特区制度）,除却に要した費用の一部（条件により変動）,,https://www.city.meguro.tokyo.jp/mokumitsu/shigoto/machidukuri/hunenkatokku.html
tokyo,東京都,adachi,足立区,1,老朽家屋等解体工事費助成制度,最大100万円（不燃化特区等は最大200万円）,1000000,https://www.city.adachi.tokyo.jp/kenchiku/kurashi/sumai/shingai-jose.html
tokyo,東京都,sumida,墨田区,1,老朽建築物除却等助成制度,最大200万円（不燃化加速地域等）,2000000,https://www.city.sumida.lg.jp/kurashi/sumai_machi/taisin_hunenka/hunenka_suisin/hunenka_josei.html
tokyo,東京都,katsushika,葛飾区,1,葛飾区老朽家屋等解体工事費助成制度,最大100万円（不燃化特区等は別途規定）,1000000,https://www.city.katsushika.lg.jp/kurashi/1000063/1004739/1004838.html
tokyo,東京都,edogawa,江戸川区,1,老朽住宅除却工事費助成制度,最大100万円,1000000,https://www.city.edogawa.tokyo.jp/e033/kurashi/sumai/kenchiku/taishinka/jokyokujosei.html
tokyo,東京都,arakawa,荒川区,1,不燃化特区における老朽建築物の除却費助成,全額（除却費用の全額、ただし上限単価あり）,,https://www.city.arakawa.tokyo.jp/a033/machizukuri/hunenka/hunen-jyokyaku.html
tokyo,東京都,taito,台東区,1,老朽建築物等解体費助成制度,最大100万円,1000000,https://www.city.taito.lg.jp/kenchiku/sumai/josei/roukyuukaitai.html
tokyo,東京都,koto,江東区,1,老朽建築物等除却費用助成制度,最大100万円（不燃化特区内は限度額等に別規定あり）,1000000,https://www.city.koto.lg.jp/390112/machi/kenchiku/taisinka/5707.html
tokyo,東京都,kita,北区,1,老朽建築物の除却工事費助成,"延床面積1㎡あたり27,000円など（条件により変動）",,https://www.city.kita.tokyo.jp/jutaku/machi/jutaku/hunenka/hunenka-jose.html
tokyo,東京都,itabashi,板橋区,1,板橋区老朽建築物等解体費助成金,最大50万円（特定地域は最大150万円等）,500000,https://www.city.itabashi.tokyo.jp/toushi/machi/shigaichi/hunenka/1006509.html
tokyo,東京都,nerima,練馬区,1,老朽建築物の除却費用の助成,最大200万円（重点地区等）,2000000,https://www.city.nerima.tokyo.jp/kurashi/sumai/shigaichi/hunenkatokku/hunenkajosei.html
tokyo,東京都,hachioji,八王子市,1,八王子市老朽空き家等除却支援事業,最大50万円,500000,https://www.city.hachioji.tokyo.jp/kurashi/shiminsanka/001/001/005/p026851.html
